Unique ID,ID,Monomer 1,Monomer 2,Orientation,Rot ID,Axis,Angle,Dist.,CCSD(T)/CBS,CCSD(T)/haTZ,CCSD/haTZ,CCSD/CBS,MP2/CBS,MP2/haTZ,MP2/aTZ,MP2/aQZ,HF/haTZ,HF/aTZ,HF/aQZ,SAPT2+/aDZ Elst,SAPT2+/aDZ Exch,SAPT2+ Ind,SAPT2+/aDZ Disp,SAPT2+/aDZ Tot
20,1,Water,Water,,A,y,-30,1.1,-3.60662,-3.4897,-3.39249,-3.5094,-3.57171,-3.45479,-3.4646,-3.53024,-3.01287,-3.00389,-3.0127,-3.90102,1.99991,-0.65445,-0.96811,-3.52367
21,1,Water,Water,,A,y,30,1.1,-3.60715,-3.49021,-3.39296,-3.5099,-3.57224,-3.4553,-3.46511,-3.53076,-3.01319,-3.00421,-3.01302,-3.90187,2.00056,-0.65456,-0.96831,-3.52418
22,1,Water,Water,,A,z,-30,0.7,2.89525,3.66701,4.12784,3.35607,2.76388,3.53564,3.44951,3.04008,6.28982,6.26031,6.22936,-22.68569,42.7062,-10.48614,-5.93411,3.60026
23,1,Water,Water,,A,z,30,0.7,3.21103,3.99243,4.47887,3.69747,3.00995,3.79135,3.71655,3.29731,6.88091,6.85371,6.82826,-22.51138,42.60585,-10.06515,-5.91922,4.11009
24,1,Water,Water,,A,z,-30,0.8,-2.61682,-2.11103,-1.77664,-2.28243,-2.62166,-2.11587,-2.17628,-2.4478,-0.312,-0.32671,-0.35999,-13.82094,20.75955,-5.13108,-3.78256,-1.97504
25,1,Water,Water,,A,z,30,0.8,-2.58583,-2.08201,-1.73068,-2.2345,-2.63729,-2.13347,-2.18421,-2.45909,-0.09544,-0.11033,-0.14101,-13.54866,20.30081,-4.86623,-3.73452,-1.8486
26,1,Water,Water,,A,z,-30,0.9,-4.24612,-3.91259,-3.68144,-4.01497,-4.20127,-3.86773,-3.90706,-4.09226,-2.72224,-2.7246,-2.76042,-8.80699,9.98997,-2.59766,-2.43099,-3.84567
27,1,Water,Water,,A,z,30,0.9,-4.24916,-3.92014,-3.67736,-4.00639,-4.23727,-3.90825,-3.94128,-4.12726,-2.59427,-2.59965,-2.63485,-8.55621,9.56253,-2.42735,-2.38017,-3.80119
28,1,Water,Water,,A,z,-30,0.95,-4.38804,-4.12093,-3.93154,-4.19865,-4.33605,-4.06894,-4.10019,-4.24944,-3.16389,-3.16195,-3.19251,-7.17429,6.90496,-1.87097,-1.95448,-4.09478
29,1,Water,Water,,A,z,30,0.95,-4.3734,-4.11052,-3.91122,-4.1741,-4.34959,-4.08671,-4.11336,-4.26291,-3.03701,-3.0391,-3.06986,-6.94228,6.53787,-1.73519,-1.90688,-4.04649
30,1,Water,Water,,A,z,-30,1,-4.30378,-4.09259,-3.93877,-4.14995,-4.25158,-4.04039,-4.06473,-4.18248,-3.32929,-3.32391,-3.34698,-5.92554,4.76207,-1.35946,-1.57671,-4.09965
31,1,Water,Water,,A,z,30,1,-4.2642,-4.05659,-3.89414,-4.10175,-4.23628,-4.02866,-4.04982,-4.16773,-3.19237,-3.1917,-3.21569,-5.71078,4.46021,-1.25167,-1.53279,-4.03501
32,1,Water,Water,,A,z,-30,1.05,-4.0905,-3.92558,-3.80169,-3.96661,-4.04231,-3.87739,-3.8955,-3.98694,-3.32215,-3.31383,-3.32939,-4.95968,3.27824,-0.99708,-1.27524,-3.95376
33,1,Water,Water,,A,z,30,1.05,-4.02489,-3.86272,-3.73117,-3.89333,-3.99771,-3.83554,-3.85163,-3.94326,-3.17114,-3.16788,-3.1849,-4.75931,3.03751,-0.91164,-1.23718,-3.87062
34,1,Water,Water,,A,z,-30,1.1,-3.81109,-3.68371,-3.58477,-3.71215,-3.76917,-3.64179,-3.65408,-3.72456,-3.21149,-3.20052,-3.20987,-4.20362,2.25363,-0.73848,-1.03432,-3.72277
35,1,Water,Water,,A,z,30,1.1,-3.72163,-3.59618,-3.4903,-3.61575,-3.69792,-3.57247,-3.58376,-3.65443,-3.04629,-3.04055,-3.05162,-4.01474,2.06584,-0.67062,-1.00143,-3.62095
36,1,Water,Water,,B,y,-30,0.7,4.79571,5.59973,6.09151,5.28749,4.57093,5.37494,5.28637,4.86091,8.4556,8.42951,8.40143,-21.1668,44.96665,-11.82933,-6.25999,5.71054
37,1,Water,Water,,B,y,30,0.7,4.79639,5.6003,6.09206,5.28815,4.57165,5.37556,5.28702,4.8616,8.45619,8.43012,8.40204,-21.15695,44.95305,-11.82512,-6.25921,5.71177
38,1,Water,Water,,B,y,-30,0.8,-1.59093,-1.0668,-0.70258,-1.22671,-1.65768,-1.13355,-1.19735,-1.47531,0.94441,0.93084,0.90278,-12.96804,22.05119,-5.80399,-4.02475,-0.74559
39,1,Water,Water,,B,y,30,0.8,-1.58958,-1.06555,-0.70138,-1.22541,-1.65629,-1.13226,-1.19603,-1.47395,0.94552,0.93198,0.90393,-12.96149,22.04318,-5.8016,-4.02416,-0.74406
40,1,Water,Water,,B,y,-30,0.9,-3.66299,-3.31319,-3.05567,-3.40547,-3.65527,-3.30546,-3.34824,-3.54072,-1.94435,-1.9473,-1.98281,-8.25651,10.70911,-2.93811,-2.61705,-3.10255
41,1,Water,Water,,B,y,30,0.9,-3.66144,-3.31172,-3.05425,-3.40397,-3.6537,-3.30398,-3.34672,-3.53917,-1.94306,-1.94598,-1.98149,-8.25213,10.70455,-2.93673,-2.61661,-3.10093
42,1,Water,Water,,B,y,-30,0.95,-3.93529,-3.65228,-3.43862,-3.72163,-3.91096,-3.62796,-3.66207,-3.82003,-2.53461,-2.53339,-2.56673,-6.71311,7.43649,-2.11269,-2.11475,-3.50406
43,1,Water,Water,,B,y,30,0.95,-3.93376,-3.6508,-3.43719,-3.72014,-3.90941,-3.62646,-3.66056,-3.81849,-2.53332,-2.53207,-2.5654,-6.70951,7.43307,-2.11164,-2.11437,-3.50245
44,1,Water,Water,,B,y,-30,1,-3.9434,-3.71741,-3.54148,-3.76746,-3.91124,-3.68526,-3.71186,-3.83888,-2.81072,-2.80605,-2.83389,-5.53183,5.15174,-1.53038,-1.71296,-3.62344
45,1,Water,Water,,B,y,30,1,-3.9419,-3.71597,-3.54008,-3.76601,-3.90973,-3.6838,-3.71038,-3.83737,-2.80945,-2.80476,-2.83259,-5.52885,5.1492,-1.52959,-1.71264,-3.62188
46,1,Water,Water,,B,y,-30,1.05,-3.7958,-3.61765,-3.47378,-3.65193,-3.7617,-3.58355,-3.60359,-3.70388,-2.88695,-2.87947,-2.90054,-4.61839,3.56118,-1.11753,-1.39173,-3.56648
47,1,Water,Water,,B,y,30,1.05,-3.79439,-3.61627,-3.47244,-3.65056,-3.76028,-3.58216,-3.60219,-3.70247,-2.88574,-2.87825,-2.8993,-4.61592,3.55931,-1.11692,-1.39146,-3.565
48,1,Water,Water,,B,y,-30,1.1,-3.56335,-3.42443,-3.30757,-3.44648,-3.53097,-3.39206,-3.4063,-3.48456,-2.83973,-2.82995,-2.84461,-3.90341,2.4571,-0.82321,-1.13315,-3.40266
49,1,Water,Water,,B,y,30,1.1,-3.56202,-3.42314,-3.30631,-3.44519,-3.52964,-3.39075,-3.40498,-3.48323,-2.83858,-2.82879,-2.84344,-3.90134,2.45573,-0.82274,-1.13291,-3.40127
50,1,Water,Water,,B,z,-30,0.7,4.65437,5.51846,6.04026,5.17617,4.46608,5.33017,5.23612,4.78109,8.47762,8.4498,8.42646,-26.68799,52.43896,-13.69987,-6.80506,5.24603
51,1,Water,Water,,B,z,30,0.7,4.72218,5.57607,6.05377,5.19987,4.40354,5.25744,5.16246,4.70839,8.31816,8.2817,8.24538,-23.66164,49.41197,-13.61755,-6.56011,5.57268
52,1,Water,Water,,B,z,-30,0.8,-2.06761,-1.50065,-1.08987,-1.65683,-2.10979,-1.54283,-1.61177,-1.9081,0.68898,0.67048,0.65053,-16.56833,26.5323,-6.88527,-4.42991,-1.35121
53,1,Water,Water,,B,z,30,0.8,-2.13788,-1.57716,-1.22329,-1.78401,-2.27677,-1.71606,-1.78386,-2.08204,0.35971,0.3386,0.30726,-14.82795,24.58386,-6.78114,-4.23653,-1.26176
54,1,Water,Water,,B,z,-30,0.9,-4.2568,-3.87634,-3.57126,-3.95172,-4.22948,-3.84902,-3.89373,-4.10145,-2.31623,-2.32253,-2.35479,-10.6081,13.31703,-3.56526,-2.91136,-3.76769
55,1,Water,Water,,B,z,30,0.9,-4.39661,-4.01807,-3.76844,-4.14699,-4.43984,-4.0613,-4.10682,-4.31573,-2.7037,-2.71217,-2.751,-9.6401,12.10361,-3.48517,-2.77104,-3.7927
56,1,Water,Water,,B,z,-30,0.95,-4.5369,-4.22914,-3.97024,-4.278,-4.49477,-4.18701,-4.2209,-4.39304,-2.92472,-2.9251,-2.95784,-8.61937,9.40628,-2.59012,-2.36372,-4.16694
57,1,Water,Water,,B,z,30,0.95,-4.69805,-4.38765,-4.18107,-4.49148,-4.71587,-4.40546,-4.44252,-4.61652,-3.3186,-3.32257,-3.36042,-7.91361,8.4618,-2.52574,-2.24762,-4.22517
58,1,Water,Water,,B,z,-30,1,-4.53118,-4.28646,-4.06854,-4.31326,-4.48301,-4.2383,-4.26271,-4.40222,-3.20159,-3.19677,-3.22557,-7.08094,6.63001,-1.89362,-1.92164,-4.26619
59,1,Water,Water,,B,z,30,1,-4.70809,-4.45567,-4.28619,-4.53862,-4.71067,-4.45824,-4.48841,-4.63085,-3.5934,-3.5939,-3.62696,-6.58018,5.90116,-1.8438,-1.82789,-4.3507
60,1,Water,Water,,B,z,-30,1.05,-4.35502,-4.16398,-3.98186,-4.1729,-4.30678,-4.11573,-4.13196,-4.24255,-3.26628,-3.257,-3.27959,-5.88033,4.6638,-1.39373,-1.56629,-4.17655
61,1,Water,Water,,B,z,30,1.05,-4.54363,-4.34024,-4.20233,-4.40572,-4.53819,-4.3348,-4.35925,-4.47375,-3.65083,-3.64865,-3.67483,-5.54086,4.10546,-1.35659,-1.48977,-4.28177
62,1,Water,Water,,B,z,-30,1.1,-4.08475,-3.93818,-3.78697,-3.93354,-4.04017,-3.8936,-3.90272,-3.989,-3.1992,-3.18609,-3.20223,-4.93385,3.27512,-1.03306,-1.28089,-3.97268
63,1,Water,Water,,B,z,30,1.1,-4.28193,-4.11934,-4.008,-4.1706,-4.27332,-4.11073,-4.13025,-4.22101,-3.57339,-3.56907,-3.58815,-4.7214,2.84993,-1.00675,-1.21717,-4.09539
64,2,Water,MeOH,,,,,0.7,4.88758,5.90724,6.53041,5.51075,4.46089,5.48055,5.36341,4.82353,9.69885,9.66174,9.61881,-30.60822,61.52997,-17.07793,-8.48299,5.36083
65,2,Water,MeOH,,,,,0.8,-2.74171,-2.05654,-1.55845,-2.24361,-2.95959,-2.27443,-2.36877,-2.72345,0.82541,0.79645,0.76537,-19.27085,31.75841,-8.78517,-5.66801,-1.9656
66,2,Water,MeOH,,,,,0.9,-5.28333,-4.80908,-4.43224,-4.90649,-5.37548,-4.90124,-4.9724,-5.22199,-2.69799,-2.71564,-2.75488,-12.46256,16.23072,-4.65117,-3.8277,-4.71071
67,2,Water,MeOH,,,,,0.95,-5.62158,-5.22654,-4.90365,-5.29868,-5.67597,-5.28094,-5.34131,-5.55204,-3.43657,-3.44856,-3.48946,-10.16647,11.56741,-3.41789,-3.15398,-5.17092
68,2,Water,MeOH,,,,,1,-5.62572,-5.29904,-5.02456,-5.35123,-5.65484,-5.32817,-5.37871,-5.55449,-3.78878,-3.79566,-3.83392,-8.3828,8.22752,-2.52771,-2.60436,-5.28735
69,2,Water,MeOH,,,,,1.05,-5.42677,-5.15932,-4.92756,-5.19501,-5.44009,-5.17264,-5.21442,-5.35851,-3.89053,-3.89301,-3.92531,-6.9878,5.84003,-1.88179,-2.15518,-5.18474
70,2,Water,MeOH,,,,,1.1,-5.11258,-4.89574,-4.70123,-4.91807,-5.11697,-4.90014,-4.93418,-5.05037,-3.834,-3.8328,-3.85773,-5.88697,4.13761,-1.41074,-1.7876,-4.94771
71,2,Water,MeOH,,A,y,-30,0.7,2.12653,2.96366,3.51513,2.67799,1.87031,2.70745,2.61319,2.16863,6.18419,6.15734,6.12157,-24.45262,45.87442,-11.81866,-6.80186,2.80128
72,2,Water,MeOH,,A,y,30,0.7,3.20051,4.14763,4.81537,3.86825,2.90065,3.84777,3.74128,3.23679,8.39203,8.36702,8.32316,-26.74747,50.1225,-11.5885,-7.88651,3.90002
73,2,Water,MeOH,,A,y,-30,0.8,-3.27163,-2.71563,-2.30006,-2.85606,-3.36142,-2.80542,-2.87677,-3.17274,-0.3949,-0.41218,-0.44958,-14.84641,22.51242,-5.85359,-4.43067,-2.61825
74,2,Water,MeOH,,A,y,30,0.8,-3.04158,-2.42645,-1.93144,-2.54657,-3.14711,-2.53197,-2.61364,-2.93805,0.58653,0.57265,0.53474,-15.94739,24.43088,-5.72568,-5.15635,-2.39854
75,2,Water,MeOH,,A,y,-30,0.9,-4.76648,-4.39098,-4.0925,-4.468,-4.77559,-4.40009,-4.45173,-4.65623,-2.76888,-2.77691,-2.81784,-9.38659,10.94372,-2.99391,-2.92064,-4.35741
76,2,Water,MeOH,,A,y,30,0.9,-4.82507,-4.4192,-4.06611,-4.47198,-4.83909,-4.43321,-4.4941,-4.70903,-2.32653,-2.33092,-2.36761,-9.89752,11.77136,-2.91764,-3.40193,-4.44572
77,2,Water,MeOH,,A,y,-30,0.95,-4.84274,-4.5374,-4.28771,-4.59305,-4.83308,-4.52773,-4.5709,-4.7377,-3.19191,-3.196,-3.23211,-7.60511,7.6049,-2.16581,-2.37858,-4.54459
78,2,Water,MeOH,,A,y,30,0.95,-4.94776,-4.62044,-4.32532,-4.65264,-4.94071,-4.61339,-4.66543,-4.83767,-2.88571,-2.88658,-2.91761,-7.94413,8.13956,-2.10672,-2.76859,-4.67988
79,2,Water,MeOH,,A,y,-30,1,-4.69638,-4.45086,-4.24343,-4.48895,-4.67721,-4.4317,-4.46722,-4.60066,-3.33968,-3.34036,-3.3689,-6.24211,5.27398,-1.57934,-1.9416,-4.48907
80,2,Water,MeOH,,A,y,30,1,-4.81512,-4.55315,-4.30782,-4.56979,-4.79734,-4.53537,-4.57944,-4.71532,-3.11912,-3.11728,-3.14075,-6.46,5.61619,-1.53372,-2.25821,-4.63574
81,2,Water,MeOH,,A,y,-30,1.05,-4.42572,-4.23019,-4.05893,-4.25445,-4.40332,-4.20779,-4.23638,-4.34154,-3.3163,-3.31401,-3.3345,-5.18805,3.65117,-1.16136,-1.59041,-4.28865
82,2,Water,MeOH,,A,y,30,1.05,-4.53946,-4.33114,-4.12817,-4.33649,-4.51787,-4.30955,-4.34645,-4.45225,-3.14867,-3.1448,-3.16067,-5.32085,3.86843,-1.12628,-1.84638,-4.42508
83,2,Water,MeOH,,A,y,-30,1.1,-4.0941,-3.93949,-3.79888,-3.95349,-4.07242,-3.91781,-3.94012,-4.0223,-3.19093,-3.18605,-3.19954,-4.36334,2.52428,-0.86151,-1.30466,-4.00523
84,2,Water,MeOH,,A,y,30,1.1,-4.19328,-4.02816,-3.86094,-4.02606,-4.17218,-4.00706,-4.03759,-4.11936,-3.05544,-3.05012,-3.05951,-4.43664,2.66117,-0.83452,-1.5126,-4.12258
85,2,Water,MeOH,,A,z,-30,0.7,2.78598,3.65981,4.23471,3.36088,2.52947,3.4033,3.30099,2.83897,7.06984,7.04211,7.00421,-25.9064,49.10921,-12.62062,-7.22483,3.35736
86,2,Water,MeOH,,A,z,30,0.7,3.72727,4.67829,5.33832,4.3873,3.358,4.30902,4.2013,3.69777,8.89375,8.86458,8.82665,-26.60564,50.94094,-11.91409,-7.824,4.59721
87,2,Water,MeOH,,A,z,-30,0.8,-3.08493,-2.50116,-2.06383,-2.6476,-3.17368,-2.58991,-2.66894,-2.97607,-0.02422,-0.04103,-0.07736,-15.83872,24.44672,-6.31334,-4.74461,-2.44995
88,2,Water,MeOH,,A,z,30,0.8,-2.93764,-2.3187,-1.82666,-2.4456,-3.09619,-2.47725,-2.55944,-2.88405,0.6926,0.67354,0.63964,-15.93343,24.7527,-5.87911,-5.10148,-2.16131
89,2,Water,MeOH,,A,z,-30,0.9,-4.8247,-4.42676,-4.10976,-4.50771,-4.83031,-4.43236,-4.49012,-4.70392,-2.6827,-2.68912,-2.72973,-10.05049,12.05241,-3.2639,-3.14889,-4.41087
90,2,Water,MeOH,,A,z,30,0.9,-4.89949,-4.48732,-4.13492,-4.54709,-4.95238,-4.54021,-4.60062,-4.81974,-2.38526,-2.39486,-2.4322,-9.9568,11.87941,-2.99087,-3.35467,-4.42293
91,2,Water,MeOH,,A,z,-30,0.95,-4.96938,-4.64348,-4.37719,-4.70309,-4.95533,-4.62943,-4.6781,-4.85379,-3.19188,-3.19421,-3.23076,-8.15094,8.4337,-2.37399,-2.57292,-4.66415
92,2,Water,MeOH,,A,z,30,0.95,-5.06096,-4.72668,-4.43161,-4.76589,-5.08699,-4.75271,-4.80402,-4.9817,-2.9802,-2.98602,-3.01942,-8.02511,8.19642,-2.15821,-2.72875,-4.71565
93,2,Water,MeOH,,A,z,-30,1,-4.86712,-4.60301,-4.38093,-4.64504,-4.84304,-4.57893,-4.61948,-4.76112,-3.40025,-3.39917,-3.42854,-6.69494,5.8888,-1.74045,-2.10728,-4.65388
94,2,Water,MeOH,,A,z,30,1,-4.94724,-4.6786,-4.43289,-4.70154,-4.95762,-4.68898,-4.73205,-4.87374,-3.23173,-3.2343,-3.26103,-6.55494,5.64228,-1.5706,-2.22611,-4.70936
95,2,Water,MeOH,,A,z,-30,1.05,-4.62256,-4.41068,-4.22666,-4.43855,-4.59505,-4.38317,-4.4164,-4.52867,-3.41829,-3.41435,-3.43565,-5.56818,4.10413,-1.28662,-1.73145,-4.48211
96,2,Water,MeOH,,A,z,30,1.05,-4.67759,-4.46359,-4.25997,-4.47397,-4.68001,-4.46601,-4.50157,-4.61288,-3.26802,-3.26777,-3.28709,-5.42341,3.87649,-1.15325,-1.82069,-4.52086
97,2,Water,MeOH,,A,z,-30,1.1,-4.30415,-4.13543,-3.98386,-4.15258,-4.27745,-4.10873,-4.13531,-4.22342,-3.32003,-3.31363,-3.32768,-4.68668,2.85582,-0.95941,-1.42507,-4.21534
98,2,Water,MeOH,,A,z,30,1.1,-4.32923,-4.15989,-3.99186,-4.16121,-4.32869,-4.15935,-4.18814,-4.27472,-3.17439,-3.17169,-3.18432,-4.54187,2.65916,-0.85455,-1.49345,-4.23072
99,2,Water,MeOH,,B,y,-30,0.7,4.61662,5.49131,6.06786,5.19317,4.31531,5.19,5.08131,4.62084,8.8313,8.80178,8.76,-24.94259,51.15303,-13.74219,-7.1718,5.29645
100,2,Water,MeOH,,B,y,30,0.7,3.89344,4.8365,5.53351,4.59045,3.63358,4.57664,4.465,3.96975,9.51691,9.49734,9.46276,-18.10777,39.17931,-8.39858,-7.64377,5.02919
101,2,Water,MeOH,,B,y,-30,0.8,-2.0633,-1.48425,-1.0406,-1.61964,-2.18328,-1.60423,-1.69048,-1.99028,0.96653,0.94395,0.90865,-15.36501,25.6785,-6.91568,-4.70775,-1.30993
102,2,Water,MeOH,,B,y,30,0.8,-1.41996,-0.7993,-0.28937,-0.91003,-1.49983,-0.87917,-0.96625,-1.28914,2.54275,2.53217,2.49801,-10.53134,19.11808,-4.1005,-5.03039,-0.54415
103,2,Water,MeOH,,B,y,-30,0.9,-4.22033,-3.82678,-3.50163,-3.89517,-4.24571,-3.85217,-3.91598,-4.12368,-2.08534,-2.09841,-2.13888,-9.77268,12.78347,-3.59235,-3.12515,-3.70671
104,2,Water,MeOH,,B,y,30,0.9,-3.12349,-2.71866,-2.35645,-2.76129,-3.12327,-2.71844,-2.78574,-2.99113,-0.381,-0.38458,-0.40888,-6.41168,9.2505,-2.06194,-3.33162,-2.55474
105,2,Water,MeOH,,B,y,-30,0.95,-4.4901,-4.16779,-3.89314,-4.21545,-4.49126,-4.16895,-4.22252,-4.39402,-2.71199,-2.72034,-2.7586,-7.92132,8.99367,-2.61674,-2.55285,-4.09724
106,2,Water,MeOH,,B,y,30,0.95,-3.33667,-3.01227,-2.70959,-3.03399,-3.31874,-2.99434,-3.05335,-3.21389,-1.06963,-1.07057,-1.08744,-5.10755,6.41205,-1.47873,-2.71649,-2.89072
107,2,Water,MeOH,,B,y,-30,1,-4.4777,-4.21666,-3.98634,-4.24738,-4.46511,-4.20406,-4.24842,-4.38744,-3.00513,-3.00925,-3.04183,-6.49696,6.31514,-1.91977,-2.09003,-4.19162
108,2,Water,MeOH,,B,y,30,1,-3.32882,-3.06935,-2.81763,-3.0771,-3.30216,-3.0427,-3.09438,-3.21881,-1.46112,-1.46002,-1.47023,-4.12818,4.43445,-1.069,-2.22033,-2.98306
109,2,Water,MeOH,,B,y,-30,1.05,-4.29801,-4.08902,-3.8971,-4.10609,-4.27906,-4.07006,-4.10625,-4.21682,-3.08496,-3.0854,-3.11068,-5.39139,4.42624,-1.41921,-1.71483,-4.09918
110,2,Water,MeOH,,B,y,30,1.05,-3.19068,-2.98283,-2.77444,-2.98229,-3.16119,-2.95335,-2.99853,-3.09473,-1.65623,-1.65357,-1.6587,-3.38543,3.06017,-0.77922,-1.81843,-2.9229
111,2,Water,MeOH,,B,y,-30,1.1,-4.02675,-3.86102,-3.70204,-3.86776,-4.00636,-3.84064,-3.86959,-3.95631,-3.03227,-3.02949,-3.04763,-4.52403,3.09771,-1.05761,-1.41178,-3.89571
112,2,Water,MeOH,,B,y,30,1.1,-2.98181,-2.81469,-2.64289,-2.81001,-2.95313,-2.78601,-2.82536,-2.8999,-1.72412,-1.72031,-1.7219,-2.81605,2.10725,-0.57283,-1.49151,-2.77313
113,2,Water,MeOH,,B,z,-30,0.7,4.97458,6.05316,6.81246,5.73388,4.57335,5.65193,5.52161,4.96504,10.98814,10.95405,10.93424,-27.63304,56.65028,-14.22519,-9.06225,5.7298
114,2,Water,MeOH,,B,z,30,0.7,4.74137,5.69936,6.27118,5.31318,4.31807,5.27606,5.1636,4.65528,9.07278,9.03686,8.99063,-27.40494,56.67347,-16.02509,-7.78407,5.45937
115,2,Water,MeOH,,B,z,-30,0.8,-2.10789,-1.38691,-0.78443,-1.50541,-2.28762,-1.56664,-1.67222,-2.03355,2.35621,2.32943,2.31628,-16.68093,28.74617,-7.21625,-6.09694,-1.24795
116,2,Water,MeOH,,B,z,30,0.8,-2.64097,-2.00284,-1.56251,-2.20064,-2.85785,-2.21971,-2.30801,-2.64063,0.4873,0.4616,0.42663,-17.29107,28.83351,-8.15869,-5.14854,-1.76478
117,2,Water,MeOH,,B,z,-30,0.9,-4.43612,-3.94122,-3.48636,-3.98126,-4.49332,-3.99842,-4.07906,-4.32936,-1.18521,-1.20083,-1.22644,-10.3666,14.42861,-3.75588,-4.12897,-3.82284
118,2,Water,MeOH,,B,z,30,0.9,-5.08018,-4.64339,-4.3207,-4.75749,-5.17566,-4.73887,-4.8037,-5.03571,-2.87125,-2.88531,-2.92552,-11.24668,14.52171,-4.28208,-3.4487,-4.45575
